NUM_DERIVATIVE,LABEL_DERIVATIVE,NUM_PIVOT,NUM_DERIVATIVE_CATEGORY,NUM_ALIAS_ETYMOLOGY,NUM_DERIVATIVE_ETYMOLOGY
1,مارتينيكي,2,23,,
2,إيل دو فرانس,5,23,,
3,سانتر-فال دو لوار,9,23,,
4,نور با دو كاليه,12,23,,
5,لوريني,13,23,,
6,بايي دو لا لوار,16,23,,
7,ميدي بيرينه,20,23,,
8,ليموزاني,21,23,,
9,أوفرني,23,23,,
10,كورسيكي,26,23,,
11,فرنسي,27,23,,
12,سان مارينو,456,23,,
13,زيغني,498,23,,
14,ستراسبورغي,514,23,,
15,كولماري,657,23,,
16,ميلوزي,814,23,,
17,بوردوي,1644,23,,
18,هرمي,2264,23,,
19,أجاني,2482,23,,
20,لا ريونيون,2602,23,,
21,بايوني,2912,23,,
22,بياريتزي,2932,23,,
23,فيشيي,3690,23,,
24,كليرمون فيران,4342,23,,
25,بايوي,4763,23,,
26,كايني,4826,23,,
27,دوفيلي,4921,23,,
28,ليزيوي,5129,23,,
29,هاملني,5685,23,,
30,جبل القديس ميشيل,5791,23,,
31,يوني,6656,23,,
32,ديجوني,6886,23,,
33,كلونيي,7814,23,,
34,أوكساري,8321,23,,
35,كاييني,8788,23,,
36,موربيهاني,8813,23,,
37,بريستي,9228,23,,
38,كامباري,9453,23,,
39,ريني,9746,23,,
40,سان مالو,9795,23,,
41,بيلزي,9871,23,,
42,لورياني,9995,23,,
43,فاني,10128,23,,
44,بورجيزي,10165,23,,
45,توري,11367,23,,
46,أورلياني,11625,23,,
47,بلوي,11756,23,,
48,تروي,12941,23,,
49,رانسي,14013,23,,
50,بونيفاسيوي,14241,23,,
51,باستي,14361,23,,
52,بيزنسوني,14644,23,,
53,مونتبلياري,14991,23,,
54,بلفوري,16412,23,,
55,إفروي,16715,23,,
56,دييبي,17420,23,,
57,لو هافر,17607,23,,
58,رواني,17775,23,,
59,بولون-بيانكوري,18197,23,,
60,كوربفوي,18205,23,,
61,ميدوني,18217,23,,
62,نانتيري,18219,23,,
63,نويي-سور-سيني,18220,23,,
64,سان كلو,18223,23,,
65,مولني,18548,23,,
66,سان دوني,18823,23,,
67,فانساني,18877,23,,
68,مونمورانسيي,19004,23,,
69,سن جرمن آن له,19292,23,,
70,فرسايي,19324,23,,
71,قرقشونةي,19405,23,,
72,أربونةي,19604,23,,
73,مونسي,19961,23,,
74,بيزييهي,20167,23,,
75,مونبلييهي,20326,23,,
76,بيربيني,20835,23,,
77,ليموجي,21580,23,,
78,أورادور سور غلان,21604,23,,
79,مونتروي,22080,23,,
80,نانسيي,22094,23,,
81,فرداني,22846,23,,
82,هاغني,23167,23,,
83,متزي,23352,23,,
84,ديرباني,24963,23,,
85,تولوزي,25876,23,,
86,لوردي,26197,23,,
87,ألبيي,26736,23,,
88,كامبريهي,27377,23,,
89,دوايي,27434,23,,
90,دونكيركي,27439,23,,
91,ليلي,27609,23,,
92,روبيهي,27771,23,,
93,توركواني,27858,23,,
94,فالنسياني,27865,23,,
95,أراسي,27971,23,,
96,أفيوني,27995,23,,
97,بولوني سور مير,28093,23,,
98,كاليهي,28126,23,,
99,إيبسي,28233,23,,
100,لنسي,28434,23,,
