NUM_INSTANCE,LABEL_INSTANCE,NUM_MORPHOLOGY,NUM_PART_OF_SPEECH,NUM_PIVOT,NUM_PROLEXEME,NUM_ALIAS,NUM_DERIVATIVE
1,مارتينيكي,29,1,2,19527,,1
2,مارتينيكي,29,2,2,19527,,1
3,مارتينيكية,2,1,2,19527,,1
4,مارتينيكية,2,2,2,19527,,1
5,مارتينيكيون,50,2,2,19527,,1
6,مارتينيكيات,20,2,2,19527,,1
7,مارتينيكيتانِ,11,2,2,19527,,1
8,مارتينيكيانِ,38,2,2,19527,,1
9,مارتينيكيتَينِ,14,2,2,19527,,1
10,مارتينيكيتَينِ,17,2,2,19527,,1
11,المارتينيكي,28,1,2,19527,,1
12,المارتينيكي,28,2,2,19527,,1
13,المارتينيكية,1,1,2,19527,,1
14,المارتينيكية,1,2,2,19527,,1
15,المارتينيكيون,49,2,2,19527,,1
16,المارتينيكيات,19,2,2,19527,,1
17,المارتينيكيتانِ,10,2,2,19527,,1
18,المارتينيكيانِ,46,2,2,19527,,1
19,المارتينيكيتَينِ,13,2,2,19527,,1
20,المارتينيكيتَينِ,16,2,2,19527,,1
21,مارتينيكيٌّ,23,2,2,19527,,1
22,مارتينيكيًّا,32,2,2,19527,,1
23,مارتينيكيٍّ,35,2,2,19527,,1
24,المارتينيكيُّ,28,2,2,19527,,1
25,مارتينيكيَّ,31,2,2,19527,,1
26,مارتينيكيِّ,34,2,2,19527,,1
27,مارتينيكيةُ,1,2,2,19527,,1
28,مارتينيكيةَ,4,2,2,19527,,1
29,مارتينيكيةِ,7,2,2,19527,,1
30,مارتينيكيةٌ,2,2,2,19527,,1
31,مارتينيكيةً,5,2,2,19527,,1
32,مارتينيكيةٍ,8,2,2,19527,,1
34,إيل دو فرانس,2,2,5,19528,,2
35,سانتر-فال دو لوار,2,2,9,19529,,3
36,نور با دو كاليه,2,2,12,19530,,4
37,لوريني,29,1,13,19531,,5
38,لوريني,29,2,13,19531,,5
39,لورينية,2,1,13,19531,,5
40,لورينية,2,2,13,19531,,5
41,لورينيون,50,2,13,19531,,5
42,لورينيات,20,2,13,19531,,5
43,لورينيتانِ,11,2,13,19531,,5
44,لورينيانِ,38,2,13,19531,,5
45,لورينيتَينِ,14,2,13,19531,,5
46,لورينيتَينِ,17,2,13,19531,,5
47,اللوريني,28,1,13,19531,,5
48,اللوريني,28,2,13,19531,,5
49,اللورينية,1,1,13,19531,,5
50,اللورينية,1,2,13,19531,,5
51,اللورينيون,49,2,13,19531,,5
52,اللورينيات,19,2,13,19531,,5
53,اللورينيتانِ,10,2,13,19531,,5
54,اللورينيانِ,46,2,13,19531,,5
55,اللورينيتَينِ,13,2,13,19531,,5
56,اللورينيتَينِ,16,2,13,19531,,5
57,لورينيٌّ,23,2,13,19531,,5
58,لورينيًّا,32,2,13,19531,,5
59,لورينيٍّ,35,2,13,19531,,5
60,اللورينيُّ,28,2,13,19531,,5
61,لورينيَّ,31,2,13,19531,,5
62,لورينيِّ,34,2,13,19531,,5
63,لورينيةُ,1,2,13,19531,,5
64,لورينيةَ,4,2,13,19531,,5
65,لورينيةِ,7,2,13,19531,,5
66,لورينيةٌ,2,2,13,19531,,5
67,لورينيةً,5,2,13,19531,,5
68,لورينيةٍ,8,2,13,19531,,5
70,بايي دو لا لوار,2,2,16,19532,,6
71,ميدي بيرينه,2,2,20,19533,,7
72,ليموزاني,29,1,21,19534,,8
73,ليموزاني,29,2,21,19534,,8
74,ليموزانية,2,1,21,19534,,8
75,ليموزانية,2,2,21,19534,,8
76,ليموزانيون,50,2,21,19534,,8
77,ليموزانيات,20,2,21,19534,,8
78,ليموزانيتانِ,11,2,21,19534,,8
79,ليموزانيانِ,38,2,21,19534,,8
80,ليموزانيتَينِ,14,2,21,19534,,8
81,ليموزانيتَينِ,17,2,21,19534,,8
82,الليموزاني,28,1,21,19534,,8
83,الليموزاني,28,2,21,19534,,8
84,الليموزانية,1,1,21,19534,,8
85,الليموزانية,1,2,21,19534,,8
86,الليموزانيون,49,2,21,19534,,8
87,الليموزانيات,19,2,21,19534,,8
88,الليموزانيتانِ,10,2,21,19534,,8
89,الليموزانيانِ,46,2,21,19534,,8
90,الليموزانيتَينِ,13,2,21,19534,,8
91,الليموزانيتَينِ,16,2,21,19534,,8
92,ليموزانيٌّ,23,2,21,19534,,8
93,ليموزانيًّا,32,2,21,19534,,8
94,ليموزانيٍّ,35,2,21,19534,,8
95,الليموزانيُّ,28,2,21,19534,,8
96,ليموزانيَّ,31,2,21,19534,,8
97,ليموزانيِّ,34,2,21,19534,,8
98,ليموزانيةُ,1,2,21,19534,,8
99,ليموزانيةَ,4,2,21,19534,,8
100,ليموزانيةِ,7,2,21,19534,,8
101,ليموزانيةٌ,2,2,21,19534,,8
102,ليموزانيةً,5,2,21,19534,,8
