NUM_MORPHOLOGY,GENDER,NUMBER,CASE,DEFINITENESS,TAM,PERSON
1,feminine,singular,nominative,definite,,
2,feminine,singular,nominative,indefinite,,
3,feminine,singular,nominative,definiteConstruct,,
4,feminine,singular,accusative,definite,,
5,feminine,singular,accusative,indefinite,,
6,feminine,singular,accusative,definiteConstruct,,
7,feminine,singular,genitive,definite,,
8,feminine,singular,genitive,indefinite,,
9,feminine,singular,genitive,definiteConstruct,,
10,feminine,dual,nominative,definite,,
11,feminine,dual,nominative,indefinite,,
12,feminine,dual,nominative,definiteConstruct,,
13,feminine,dual,accusative,definite,,
14,feminine,dual,accusative,indefinite,,
15,feminine,dual,accusative,definiteConstruct,,
16,feminine,dual,genitive,definite,,
17,feminine,dual,genitive,indefinite,,
18,feminine,dual,genitive,definiteConstruct,,
19,feminine,plural,nominative,definite,,
20,feminine,plural,nominative,indefinite,,
21,feminine,plural,nominative,definiteConstruct,,
22,feminine,plural,accusative,definite,,
23,feminine,plural,accusative,indefinite,,
24,feminine,plural,accusative,definiteConstruct,,
25,feminine,plural,genitive,definite,,
26,feminine,plural,genitive,indefinite,,
27,feminine,plural,genitive,definiteConstruct,,
28,masculine,singular,nominative,definite,,
29,masculine,singular,nominative,indefinite,,
30,masculine,singular,nominative,definiteConstruct,,
31,masculine,singular,accusative,definite,,
32,masculine,singular,accusative,indefinite,,
33,masculine,singular,accusative,definiteConstruct,,
34,masculine,singular,genitive,definite,,
35,masculine,singular,genitive,indefinite,,
36,masculine,singular,genitive,definiteConstruct,,
37,masculine,dual,nominative,definite,,
38,masculine,dual,nominative,indefinite,,
39,masculine,dual,nominative,definiteConstruct,,
40,masculine,dual,accusative,definite,,
41,masculine,dual,accusative,indefinite,,
42,masculine,dual,accusative,definiteConstruct,,
43,masculine,dual,genitive,definite,,
44,masculine,dual,genitive,indefinite,,
45,masculine,dual,genitive,definiteConstruct,,
46,masculine,plural,nominative,definite,,
47,masculine,plural,nominative,indefinite,,
48,masculine,plural,nominative,definiteConstruct,,
49,masculine,plural,accusative,definite,,
50,masculine,plural,accusative,indefinite,,
51,masculine,plural,accusative,definiteConstruct,,
52,masculine,plural,genitive,definite,,
53,masculine,plural,genitive,indefinite,,
54,masculine,plural,genitive,definiteConstruct,,
