NUM_PIVOT,NUM_TYPE,NUM_EXISTENCE
1,28,1
2,28,1
3,28,1
5,28,1
6,28,1
7,28,1
8,28,1
9,28,1
10,28,1
11,28,1
12,28,1
13,28,1
14,28,1
15,28,1
16,28,1
17,28,1
18,28,1
19,28,1
20,28,1
21,28,1
22,28,1
23,28,1
24,28,1
25,28,1
26,28,1
27,27,1
28,28,1
29,28,1
30,23,1
31,23,1
32,23,1
33,23,1
34,23,1
35,23,1
36,23,1
37,23,1
38,23,1
39,23,1
40,23,1
41,23,1
42,23,1
43,23,1
44,23,1
45,23,1
46,23,1
47,23,1
48,23,1
49,23,1
50,23,1
51,23,1
52,23,1
53,23,1
54,23,1
55,23,1
56,23,1
57,23,1
58,23,1
59,23,1
60,23,1
61,23,1
62,23,1
63,23,1
64,23,1
65,23,1
66,23,1
67,23,1
68,23,1
69,23,1
70,23,1
71,23,1
72,23,1
73,23,1
74,23,1
75,23,1
76,23,1
77,23,1
78,23,1
79,23,1
80,23,1
81,23,1
82,23,1
83,23,1
84,23,1
85,23,1
86,23,1
87,23,1
88,23,1
89,23,1
90,23,1
91,23,1
92,23,1
93,23,1
94,23,1
95,23,1
96,23,1
97,23,1
98,23,1
99,23,1
100,23,1
101,23,1
