NUM_PROLEXEME,LABEL_PROLEXEME,NUM_PIVOT,WIKIPEDIA_LINK
19527,مارتينيك,2,مارتينيك
19528,إيل دو فرانس,5,إيل_دو_فرانس
19529,سانتر-فال دو لوار,9,سانتر-فال_دو_لوار
19530,نور با دو كاليه,12,نور_با_دو_كاليه
19531,لورين ,13,لورين_
19532,بايي دو لا لوار,16,بايي_دو_لا_لوار
19533,ميدي بيرينه,20,ميدي_بيرينه
19534,ليموزان,21,ليموزان
19535,أوفرن,23,أوفرن
19536,كورسيكا,26,كورسيكا
19537,فرنسا,27,فرنسا
19538, سان مارينو,456,_سان_مارينو
19539,زيغن,498,زيغن
19540,ستراسبورغ,514,ستراسبورغ
19541,كولمار,657,كولمار
19542,ميلوز,814,ميلوز
19543,بوردو,1644,بوردو
19544,هرم ,2264,هرم_
19545,أجان,2482,أجان
19546,لا ريونيون,2602,لا_ريونيون
19547,بايون,2912,بايون
19548,بياريتز,2932,بياريتز
19549,فيشي,3690,فيشي
19550,كليرمون فيران,4342,كليرمون_فيران
19551,بايو,4763,بايو
19552,كاين,4826,كاين
19553,دوفيل,4921,دوفيل
19554,ليزيو,5129,ليزيو
19555,هاملن,5685,هاملن
19556,جبل القديس ميشيل,5791,جبل_القديس_ميشيل
19557,يون ,6656,يون_
19558,ديجون,6886,ديجون
19559,كلوني,7814,كلوني
19560,أوكسار,8321,أوكسار
19561,كايين,8788,كايين
19562,موربيهان ,8813,موربيهان_
19563,بريست ,9228,بريست_
19564,كامبار,9453,كامبار
19565,رين,9746,رين
19566,سان مالو,9795,سان_مالو
19567,بيلز,9871,بيلز
19568,لوريان,9995,لوريان
19569,فان,10128,فان
19570,بورجيز,10165,بورجيز
19571,تور ,11367,تور_
19572,أورليان,11625,أورليان
19573,بلوا,11756,بلوا
19574,تروا,12941,تروا
19575,رانس,14013,رانس
19576,بونيفاسيو,14241,بونيفاسيو
19577,باستيا,14361,باستيا
19578,بيزنسون,14644,بيزنسون
19579,مونتبليار,14991,مونتبليار
19580,بلفور,16412,بلفور
19581,إفرو,16715,إفرو
19582,دييب ,17420,دييب_
19583,لو هافر,17607,لو_هافر
19584,روان,17775,روان
19585,بولون-بيانكور,18197,بولون-بيانكور
19586,كوربفوا,18205,كوربفوا
19587,ميدون ,18217,ميدون_
19588,نانتير,18219,نانتير
19589,نويي-سور-سين,18220,نويي-سور-سين
19590,سان كلو,18223,سان_كلو
19591,مولن,18548,مولن
19592,سان دوني,18823,سان_دوني
19593,فانسان,18877,فانسان
19594,مونمورانسي,19004,مونمورانسي
19595,سن جرمن آن له,19292,سن_جرمن_آن_له
19596,فرساي,19324,فرساي
19597,قرقشونة,19405,قرقشونة
19598,أربونة,19604,أربونة
19599,مونس,19961,مونس
19600,بيزييه,20167,بيزييه
19601,مونبلييه,20326,مونبلييه
19602,بيربينيا,20835,بيربينيا
19603,ليموج,21580,ليموج
19604,أورادور سور غلان,21604,أورادور_سور_غلان
19605,مونترو,22080,مونترو
19606,نانسي,22094,نانسي
19607,فردان,22846,فردان
19608,هاغن,23167,هاغن
19609,متز,23352,متز
19610,ديربان,24963,ديربان
19611,تولوز,25876,تولوز
19612,لورد ,26197,لورد_
19613,ألبي,26736,ألبي
19614,كامبريه,27377,كامبريه
19615,دواي,27434,دواي
19616,دونكيرك,27439,دونكيرك
19617,ليل ,27609,ليل_
19618,روبيه ,27771,روبيه_
19619,توركوان,27858,توركوان
19620,فالنسيان,27865,فالنسيان
19621,أراس,27971,أراس
19622,أفيون ,27995,أفيون_
19623,بولوني سور مير,28093,بولوني_سور_مير
19624,كاليه,28126,كاليه
19625,إيبس ,28233,إيبس_
19626,لنس,28434,لنس
