NUM_TYPE,FRA_TYPE,NUM_TYPE_SUPERTYPE,ENG_TYPE,NOTE
1,Nom propre,,properName,Nom propre est le supertype de la base
2,Anthroponyme,1.0,anthroponym,Trait Humain ou Humain collectif.
3,Toponyme,1.0,toponym,Trait locatif.
4,Ergonyme,1.0,ergonym,Fabrication humaine. Trait concret.
5,Pragmonyme,1.0,pragmonym,Trait évènement.
6,Individuel,2.0,individual,Trait humain.
7,Collectif,2.0,collective,Trait Humain collectif.
8,Groupement,7.0,group,"Groupement sous forme d'entreprise, d'association, etc."
9,Territoire,3.0,territory,"Pays, Région ou Supranational"
10,Célébrité,6.0,celebrity,"Platon, Victor Hugo, Alexandre le Grand, l'Abbé Pierre...  Hyperonyme : Anthroponyme."
11,Patronyme,6.0,patronymic,"Les noms de famille ne se traduisent pas, sauf dans la traduction littéraire.  Hyperonyme : Anthroponyme."
12,Prénom,6.0,firstName,Hyperonyme : Anthroponyme.
13,Pseudo Anthroponyme,6.0,pseudoAnthroponym,"Ce sont les noms des animaux (ou zoonymes), les noms de robots, de machines&   A bord du vaisseau spatial russe Sputnik II"
14,Dynastie,7.0,dynasty,"En général des dérivés, mais ils sont lexicalisés sous un autre sens que celui de nom relationnel : un Mérovingien."
15,Ethnonyme,7.0,ethnonym,Nom de peuple (lorsque celui-ci n'est pas déjà entré comme nom relationnel)  ex: Arverne
16,Association,8.0,association,"Les noms d'association ou de parti politique.  Amnesty International, le Parti Socialiste&   Hyperonymes: Anthroponyme, Ergonyme"
17,Ensemble,8.0,ensemble,"Les ensembles artistiques ou les clubs sportifs.  Les Beatles, l'Olympique de Marseille&   Hyperonymes : Anthroponyme, Ergonyme"
18,Entreprise,8.0,firm,"Les noms d'entreprise, groupe, firme...  Systran, Exalead, Microsoft corporation...  Hyperonymes : Anthroponyme, Ergonyme"
19,Institution,8.0,institution,"Les institutions publiques ou privées,  telles que les laboratoires ou instituts de recherche, les administrations"
20,Organisation,8.0,organization,"Les organisation internationale ou non gouvernementale.  Organisation du Traité de l'Atlantique Nord, Médecins sans frontières"
21,Astronyme,3.0,astronym,"Les objets célestes (planètes, galaxies, étoiles, comètes& ).  Mars, la Voie lactée...  Hyperonymes : Toponyme."
22,Edifice,3.0,building,"Les noms d'édifice incluent non seulement les bâtiments, les monuments, les ponts, mais aussi les parcs et jardins, les musées"
23,Ville,3.0,city,"Paris, Tours, Belgrade..."
24,Géonyme,3.0,geonym,"Les sites géographiques naturels qui incluent les déserts, les montagnes, les forêts, les cavernes, les glaciers, les canyons"
25,Hydronyme,3.0,hydronym,"Les différentes étendues d'eau, naturelles (rivières, lacs, mers& ) ou non (canaux, étangs& ).  La Loire, l'Atlantique..."
26,Voie,3.0,way,"Les voies de circulation, les places, mais aussi les quartiers...L'Autoroute  A10 Aquitaine, la Place de l'Etoile"
27,Pays,9.0,country,"Les noms de pays indépendants (ou ayant été indépendants) : S'ajoutent aux pays actuels, les anciens royaumes  Congo, Zaïre"
28,Région,9.0,region,Les régions sont un territoire inclu dans un pays. Il ne s''agit pas forcément d'une subdivision administrative.  Berry
29,Supranational,9.0,supranational,"Les noms de région supranationale sont des territoires englobant différents pays.  L''Europe, l'Indochine, les Balkans..."
30,Objet,4.0,object,Objet
31,Produit,4.0,product,"Les appellations commerciales (les marques et les noms de produits).  Nike air, Crunch, Windows XP...  Hyperonyme : Ergonyme."
32,Pensée,4.0,thought,"Les religions: Christianisme, Judaïsme...  Les courants de pensée: Communisme..."
33,Vaisseau,4.0,vessel,"Circulant sur l'eau ou dans l'espace, les vaisseaux ont souvent des noms.  Le France, Apollo 13...  Hyperonymes : Ergonyme"
34,Oeuvre,4.0,work,"Les noms d'?uvres à caractère littéraire et artistique : romans, pièces de théâtre, tableaux, sculptures&    Les Misérables"
35,Catastrophe,5.0,disaster,"Les événements catastrophiques sont des phénomènes non récurrents, soit naturels, soit écologiques.  cyclones, marées noires..."
36,Manifestation,5.0,event,"Les manifestations sportives ou culturelles.  Les Jeux olympiques, le Festival de Cannes...  Hyperonymes : Ergonyme, Pragmonyme"
37,Fête,5.0,feast,"Les événements festifs sont récurrents, cycliques.  Noël, la Fête du travail...  Hyperonymes : Ergonyme, Pragmonyme."
38,Histoire,5.0,history,"Les évènements historiques.  La Révolution française, la bataille de Waterloo, la Guerre de cent ans, la Renaissance..."
39,Météorologie,5.0,meteorology,"Les phénomènes météorologiques (récurrents).  Le Mistral, El Nino...  Hyperonyme : Pragmonyme."
